,train_acc_mean,val_acc_mean,test_acc_mean,train_acc_std,val_acc_std,test_acc_std
AIDS,0.9958750000000001,0.9949999999999999,0.994,0.00034232659844069744,0.0,0.002236067977499804
BZR,0.8382716049382717,0.85,0.7804878048780488,0.00833904696673224,0.02500000000000001,0.02439024390243904
COX2,0.8037533512064343,0.7319148936170212,0.774468085106383,0.00790771110120785,0.028545548648933456,0.02425905159785399
DD,0.848619957537155,0.723728813559322,0.7101694915254237,0.02934817006271573,0.011369837173727724,0.016301172933619802
DHFR,0.6059602649006622,0.618421052631579,0.6052631578947368,0.004826946932818965,0.0,0.0
ENZYMES,0.43166666666666664,0.3633333333333333,0.5233333333333333,0.028920088654390014,0.050552502960343686,0.03248931448269659
MUTAG,0.8266666666666665,0.8105263157894737,0.8105263157894737,0.015634719199411465,0.0706126729736776,0.02882750302658768
NCI1,0.7512773722627737,0.7785888077858881,0.7508515815085157,0.0069400401020159996,0.007884112771785764,0.01096241394264602
PROTEINS,0.7707865168539325,0.809009009009009,0.7,0.007238257711643328,0.011746310640004778,0.014940357616679958
PTC_MR,0.616,0.5117647058823529,0.5771428571428572,0.02704144355284105,0.06443794794178426,0.07114228341707846
