,test_acc_mean,test_acc_std
AIDS,0.982,0.005700877125495687
BZR,0.8292682926829269,0.029871826131502143
COLLAB,0.6768000000000001,0.13568050707452417
COX2,0.7872340425531915,0.015044825131628643
DD,0.6983050847457627,0.012852331261104319
DHFR,0.7394736842105263,0.03767847648230622
ENZYMES,0.5466666666666666,0.02738612787525829
IMDB-BINARY,0.714,0.04505552130427524
IMDB-MULTI,0.48266666666666663,0.010110500592068741
MUTAG,0.8736842105263157,0.0470751153157851
NCI1,0.802433090024331,0.013034642565429598
PROTEINS,0.6982142857142858,0.007470178808340003
PTC_MR,0.5028571428571429,0.02555506259999757
