,train_acc_mean,val_acc_mean,test_acc_mean,train_acc_std,val_acc_std,test_acc_std
AIDS,0.994,0.994,0.993,0.0021919597395937663,0.002236067977499798,0.0027386127875258467
BZR,0.8524691358024692,0.865,0.775609756097561,0.00985723421152554,0.03791437722025774,0.020406342110587235
COLLAB,0.77825,0.7404,0.7348000000000001,0.11850250524777947,0.08491642950572052,0.07698831080105603
COX2,0.7903485254691689,0.7404255319148937,0.774468085106383,0.011899378563631177,0.03496101430884041,0.024259051597853996
DD,0.8477707006369426,0.7067796610169491,0.711864406779661,0.02309496718155039,0.020409482336936072,0.013399481610882927
DHFR,0.6274834437086093,0.6394736842105264,0.6078947368421053,0.03409149053306955,0.037907527081284004,0.005884389414473134
ENZYMES,0.4083333333333333,0.3166666666666666,0.48999999999999994,0.024473625259314024,0.04564354645876381,0.056025787713238726
IMDB-BINARY,0.82925,0.768,0.728,0.022786372023646036,0.017888543819998316,0.023874672772626646
IMDB-MULTI,0.5780000000000001,0.544,0.48,0.02189463404581135,0.012110601416389982,0.019436506316151035
MUTAG,0.8106666666666668,0.8315789473684211,0.7894736842105263,0.018012341448141757,0.023537557657892484,0.0
NCI1,0.7472627737226277,0.775669099756691,0.7532846715328467,0.006666761014836697,0.010521532024544854,0.015824440429692558
PROTEINS,0.771685393258427,0.8072072072072072,0.7071428571428571,0.004234032287958843,0.017561791612268396,0.014671139933174109
PTC_MR,0.6094545454545455,0.5588235294117647,0.5542857142857143,0.02001652210112412,0.02941176470588234,0.01564921592871905
